Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0.060006246,-0.0016818962,-0.0044076927,-0.006393558,-0.027108168,-0.06247027,0.17523718,-0.063742876,-0.03630524,0.014006265
0.0600041,0.0234509,-0.024817368,0.09705486,-0.03477472,-0.0148510495,-0.0914776,0.039726317,-0.06982914,0.05416202
0.06000643,0.06844069,0.030549688,0.011116286,0.071490474,-0.018154213,0.0060916035,0.095837794,-0.05208501,-0.03761848
0.06000005,0.03174231,-0.033817332,-0.008243553,0.1313563,-0.016296217,0.005940871,0.019564515,-0.04673335,-0.02032839
0.059999812,-0.034205467,0.08561911,-0.019797191,-0.027844988,-0.07491817,-0.014285225,0.10161294,0.080068275,-0.014177239
0.060006328,-0.026588019,-0.06794504,0.02519602,0.02964567,-0.070658684,0.02260194,0.053359896,0.020324247,-0.037794042
0.060004786,-0.0012283118,-0.0075745387,-0.010415254,0.0816557,-0.059153646,0.047889143,-0.032054566,-0.03147241,0.10802029
0.060008332,0.0011542327,-0.027502237,-0.034575358,0.002416339,0.05385625,-0.07994407,0.08818193,0.009154294,-0.040677674
0.059992235,0.044458933,-0.051136054,-0.037683822,0.004640207,0.06389083,0.04870373,-0.009156771,-0.011873164,0.10753097
0.06000253,-0.07264236,0.050971262,-0.039333124,0.034726944,-0.013880324,0.015328416,-0.033051442,0.043117654,0.04030726
0.060017496,-0.010164646,0.029624255,0.042908393,0.057037715,-0.031318318,-0.050460357,0.012553033,-0.094487965,0.16352268
0.06000199,0.059052482,0.04411263,0.019851873,0.037948027,-0.008483087,0.06655615,0.03416666,0.10363146,0.0418137
0.060001325,0.047057103,0.0067990087,-0.038705014,0.08064069,-0.032933444,-0.045778383,0.028986076,0.10800735,0.085734054
0.060023647,0.037917737,-0.073912494,0.05268516,-0.11872862,-0.079496376,0.024158532,0.14961609,0.013647958,0.010607235
0.059997544,-0.021620456,-0.07328952,-0.09230388,-0.07403188,0.12702213,0.012617495,-0.07897384,0.10391218,0.060896423
0.060006563,0.03476074,0.058053445,0.017084075,-0.018464187,-0.037467226,0.032641944,-0.0031216205,-0.076548815,0.103460245
0.06000463,0.08757057,-0.046962418,0.0076588616,0.05822543,0.04884028,0.009081844,0.10256768,0.018653788,-0.012762477
0.059994474,0.022572117,0.011696107,-0.032044973,-0.03769968,-0.05090422,0.010524917,0.1054276,-0.008041506,0.06680753
0.06001032,-0.01569019,-0.08166238,0.00078548427,-0.00393432,0.04668301,0.010968599,-0.06742968,-0.010958,-0.058129128
0.06000273,-0.026657706,-0.026655847,0.005299846,0.024439303,-0.02692384,0.0038177387,-0.053316496,-0.05064723,-0.019709002
0.059999548,0.067103244,-0.018366,-0.034538534,-0.027909225,0.028496848,-0.041185733,0.048767712,0.027456678,-0.059356548
